step,timestamp,scenario,zone_id,crop,soil_type,area_m2,soil_moisture,target_moisture,moisture_error,rsm,soil_stress,weather_stress,water_demand,et0,kc,etc,rainfall,effective_rainfall,crop_water_deficit,irrigation_command,irrigation_application,irrigation_volume_l,infiltration,actual_et,drainage,next_soil_moisture,water_balance_residual,storage_mm
879,2026-06-01 14:39:00,Normal,2,Wheat,Sandy,120.0,47.9892,55.0,7.0108,0.714,14.0,58.68,9.23,0.011387,0.85,0.009679,0.0,0.0,0.009679,25.0,0.05,6.0,0.05,0.0097,0.0,47.9937,0.0,431.9029
879,2026-06-01 14:39:00,Normal,3,Maize,Clay,80.0,65.4551,65.0,-0.4551,0.7879,14.57,58.68,9.23,0.011387,1.2,0.013664,0.0,0.0,0.013664,5.5,0.011007,0.8806,0.011,0.0137,0.0,65.4549,0.0,654.5512
880,2026-06-01 14:40:00,Normal,1,Tomato,Loam,100.0,58.3333,60.0,1.6667,0.7407,14.38,57.72,9.23,0.011571,1.15,0.013307,0.0,0.0,0.013307,14.2,0.028396,2.8396,0.0284,0.0133,0.0,58.3355,0.0,408.3332
880,2026-06-01 14:40:00,Normal,2,Wheat,Sandy,120.0,47.9937,55.0,7.0063,0.7141,14.0,57.72,9.23,0.011571,0.85,0.009835,0.0,0.0,0.009835,25.0,0.05,6.0,0.05,0.0098,0.0,47.9982,0.0,431.9432
880,2026-06-01 14:40:00,Normal,3,Maize,Clay,80.0,65.4549,65.0,-0.4549,0.7879,14.57,57.72,9.23,0.011571,1.2,0.013885,0.0,0.0,0.013885,5.5,0.011007,0.8806,0.011,0.0139,0.0,65.4546,0.0,654.5485
881,2026-06-01 14:41:00,Normal,1,Tomato,Loam,100.0,58.3355,60.0,1.6645,0.7408,14.38,57.18,9.23,0.011756,1.15,0.013519,0.0,0.0,0.013519,14.19,0.028379,2.8379,0.0284,0.0135,0.0,58.3376,0.0,408.3483
881,2026-06-01 14:41:00,Normal,2,Wheat,Sandy,120.0,47.9982,55.0,7.0018,0.7142,13.99,57.18,9.23,0.011756,0.85,0.009993,0.0,0.0,0.009993,25.0,0.05,6.0,0.05,0.01,0.0,48.0026,0.0,431.9834
881,2026-06-01 14:41:00,Normal,3,Maize,Clay,80.0,65.4546,65.0,-0.4546,0.7879,14.57,57.18,9.23,0.011756,1.2,0.014107,0.0,0.0,0.014107,5.5,0.011007,0.8805,0.011,0.0141,0.0,65.4542,0.0,654.5456
882,2026-06-01 14:42:00,Normal,1,Tomato,Loam,100.0,58.3376,60.0,1.6624,0.7408,14.37,55.95,9.23,0.011594,1.15,0.013333,0.0,0.0,0.013333,14.18,0.028363,2.8363,0.0284,0.0133,0.0,58.3397,0.0,408.3632
882,2026-06-01 14:42:00,Normal,2,Wheat,Sandy,120.0,48.0026,55.0,6.9974,0.7143,13.99,55.95,9.23,0.011594,0.85,0.009855,0.0,0.0,0.009855,25.0,0.05,6.0,0.05,0.0099,0.0,48.0071,0.0,432.0234
882,2026-06-01 14:42:00,Normal,3,Maize,Clay,80.0,65.4542,65.0,-0.4542,0.7879,14.57,55.95,9.23,0.011594,1.2,0.013913,0.0,0.0,0.013913,5.5,0.011006,0.8805,0.011,0.0139,0.0,65.454,0.0,654.5425
883,2026-06-01 14:43:00,Normal,1,Tomato,Loam,100.0,58.3397,60.0,1.6603,0.7409,14.37,55.6,9.23,0.011247,1.15,0.012934,0.0,0.0,0.012934,14.17,0.028347,2.8347,0.0283,0.0129,0.0,58.3419,0.0,408.3782
883,2026-06-01 14:43:00,Normal,2,Wheat,Sandy,120.0,48.0071,55.0,6.9929,0.7145,13.99,55.6,9.23,0.011247,0.85,0.00956,0.0,0.0,0.00956,25.0,0.05,6.0,0.05,0.0096,0.0,48.0115,0.0,432.0635
883,2026-06-01 14:43:00,Normal,3,Maize,Clay,80.0,65.454,65.0,-0.454,0.7879,14.57,55.6,9.23,0.011247,1.2,0.013496,0.0,0.0,0.013496,5.5,0.011006,0.8805,0.011,0.0135,0.0,65.4537,0.0,654.5396
884,2026-06-01 14:44:00,Normal,1,Tomato,Loam,100.0,58.3419,60.0,1.6581,0.7409,14.37,56.65,9.23,0.010561,1.15,0.012145,0.0,0.0,0.012145,14.17,0.02833,2.833,0.0283,0.0121,0.0,58.3443,0.0,408.3936
884,2026-06-01 14:44:00,Normal,2,Wheat,Sandy,120.0,48.0115,55.0,6.9885,0.7146,13.99,56.65,9.23,0.010561,0.85,0.008977,0.0,0.0,0.008977,25.0,0.05,6.0,0.05,0.009,0.0,48.0161,0.0,432.1039
884,2026-06-01 14:44:00,Normal,3,Maize,Clay,80.0,65.4537,65.0,-0.4537,0.7879,14.57,56.65,9.23,0.010561,1.2,0.012673,0.0,0.0,0.012673,5.5,0.011006,0.8805,0.011,0.0127,0.0,65.4535,0.0,654.5371
885,2026-06-01 14:45:00,Normal,1,Tomato,Loam,100.0,58.3443,60.0,1.6557,0.741,14.37,56.38,9.23,0.011467,1.15,0.013187,0.0,0.0,0.013187,14.16,0.028312,2.8312,0.0283,0.0132,0.0,58.3464,0.0,408.4098
885,2026-06-01 14:45:00,Normal,2,Wheat,Sandy,120.0,48.0161,55.0,6.9839,0.7147,13.98,56.38,9.23,0.011467,0.85,0.009747,0.0,0.0,0.009747,25.0,0.05,6.0,0.05,0.0097,0.0,48.0206,0.0,432.1449
885,2026-06-01 14:45:00,Normal,3,Maize,Clay,80.0,65.4535,65.0,-0.4535,0.7879,14.57,56.38,9.23,0.011467,1.2,0.01376,0.0,0.0,0.01376,5.5,0.011006,0.8805,0.011,0.0138,0.0,65.4533,0.0,654.5354
886,2026-06-01 14:46:00,Normal,1,Tomato,Loam,100.0,58.3464,60.0,1.6536,0.741,14.37,57.72,9.23,0.010676,1.15,0.012277,0.0,0.0,0.012277,14.15,0.028296,2.8296,0.0283,0.0123,0.0,58.3487,0.0,408.4249
886,2026-06-01 14:46:00,Normal,2,Wheat,Sandy,120.0,48.0206,55.0,6.9794,0.7148,13.98,57.72,9.23,0.010676,0.85,0.009075,0.0,0.0,0.009075,25.0,0.05,6.0,0.05,0.0091,0.0,48.0251,0.0,432.1852
886,2026-06-01 14:46:00,Normal,3,Maize,Clay,80.0,65.4533,65.0,-0.4533,0.7879,14.57,57.72,9.23,0.010676,1.2,0.012811,0.0,0.0,0.012811,5.5,0.011006,0.8805,0.011,0.0128,0.0,65.4531,0.0,654.5326
887,2026-06-01 14:47:00,Normal,1,Tomato,Loam,100.0,58.3487,60.0,1.6513,0.7411,14.36,56.86,9.23,0.011636,1.15,0.013381,0.0,0.0,0.013381,14.14,0.028278,2.8278,0.0283,0.0134,0.0,58.3508,0.0,408.4409
887,2026-06-01 14:47:00,Normal,2,Wheat,Sandy,120.0,48.0251,55.0,6.9749,0.7149,13.98,56.86,9.23,0.011636,0.85,0.009891,0.0,0.0,0.009891,25.0,0.05,6.0,0.05,0.0099,0.0,48.0296,0.0,432.2261
887,2026-06-01 14:47:00,Normal,3,Maize,Clay,80.0,65.4531,65.0,-0.4531,0.7878,14.57,56.86,9.23,0.011636,1.2,0.013963,0.0,0.0,0.013963,5.5,0.011006,0.8805,0.011,0.014,0.0,65.4528,0.0,654.5308
888,2026-06-01 14:48:00,Normal,1,Tomato,Loam,100.0,58.3508,60.0,1.6492,0.7411,14.36,54.89,9.23,0.011186,1.15,0.012864,0.0,0.0,0.012864,14.13,0.028262,2.8262,0.0283,0.0129,0.0,58.353,0.0,408.4558
888,2026-06-01 14:48:00,Normal,2,Wheat,Sandy,120.0,48.0296,55.0,6.9704,0.715,13.97,54.89,9.23,0.011186,0.85,0.009508,0.0,0.0,0.009508,25.0,0.05,6.0,0.05,0.0095,0.0,48.0341,0.0,432.2662
888,2026-06-01 14:48:00,Normal,3,Maize,Clay,80.0,65.4528,65.0,-0.4528,0.7878,14.56,54.89,9.23,0.011186,1.2,0.013423,0.0,0.0,0.013423,5.5,0.011006,0.8804,0.011,0.0134,0.0,65.4525,0.0,654.5278
889,2026-06-01 14:49:00,Normal,1,Tomato,Loam,100.0,58.353,60.0,1.647,0.7412,14.36,55.44,9.23,0.01139,1.15,0.013099,0.0,0.0,0.013099,14.12,0.028245,2.8245,0.0282,0.0131,0.0,58.3552,0.0,408.4712
889,2026-06-01 14:49:00,Normal,2,Wheat,Sandy,120.0,48.0341,55.0,6.9659,0.7151,13.97,55.44,9.23,0.01139,0.85,0.009682,0.0,0.0,0.009682,25.0,0.05,6.0,0.05,0.0097,0.0,48.0386,0.0,432.3067
889,2026-06-01 14:49:00,Normal,3,Maize,Clay,80.0,65.4525,65.0,-0.4525,0.7878,14.56,55.44,9.23,0.01139,1.2,0.013668,0.0,0.0,0.013668,5.5,0.011005,0.8804,0.011,0.0137,0.0,65.4523,0.0,654.5254
890,2026-06-01 14:50:00,Normal,1,Tomato,Loam,100.0,58.3552,60.0,1.6448,0.7412,14.36,57.66,9.23,0.011028,1.15,0.012682,0.0,0.0,0.012682,14.11,0.028228,2.8228,0.0282,0.0127,0.0,58.3574,0.0,408.4863
890,2026-06-01 14:50:00,Normal,2,Wheat,Sandy,120.0,48.0386,55.0,6.9614,0.7152,13.97,57.66,9.23,0.011028,0.85,0.009374,0.0,0.0,0.009374,25.0,0.05,6.0,0.05,0.0094,0.0,48.0431,0.0,432.347
890,2026-06-01 14:50:00,Normal,3,Maize,Clay,80.0,65.4523,65.0,-0.4523,0.7878,14.56,57.66,9.23,0.011028,1.2,0.013234,0.0,0.0,0.013234,5.5,0.011005,0.8804,0.011,0.0132,0.0,65.452,0.0,654.5227
891,2026-06-01 14:51:00,Normal,1,Tomato,Loam,100.0,58.3574,60.0,1.6426,0.7413,14.36,58.91,9.23,0.010903,1.15,0.012538,0.0,0.0,0.012538,14.11,0.028212,2.8212,0.0282,0.0125,0.0,58.3596,0.0,408.5018
891,2026-06-01 14:51:00,Normal,2,Wheat,Sandy,120.0,48.0431,55.0,6.9569,0.7153,13.97,58.91,9.23,0.010903,0.85,0.009268,0.0,0.0,0.009268,25.0,0.05,6.0,0.05,0.0093,0.0,48.0476,0.0,432.3876
891,2026-06-01 14:51:00,Normal,3,Maize,Clay,80.0,65.452,65.0,-0.452,0.7878,14.56,58.91,9.23,0.010903,1.2,0.013084,0.0,0.0,0.013084,5.5,0.011005,0.8804,0.011,0.0131,0.0,65.4518,0.0,654.5205
892,2026-06-01 14:52:00,Normal,1,Tomato,Loam,100.0,58.3596,60.0,1.6404,0.7413,14.36,57.39,9.23,0.011256,1.15,0.012944,0.0,0.0,0.012944,14.1,0.028195,2.8195,0.0282,0.0129,0.0,58.3618,0.0,408.5175
892,2026-06-01 14:52:00,Normal,2,Wheat,Sandy,120.0,48.0476,55.0,6.9524,0.7154,13.96,57.39,9.23,0.011256,0.85,0.009568,0.0,0.0,0.009568,25.0,0.05,6.0,0.05,0.0096,0.0,48.0521,0.0,432.4283
892,2026-06-01 14:52:00,Normal,3,Maize,Clay,80.0,65.4518,65.0,-0.4518,0.7878,14.56,57.39,9.23,0.011256,1.2,0.013507,0.0,0.0,0.013507,5.5,0.011005,0.8804,0.011,0.0135,0.0,65.4516,0.0,654.5184
893,2026-06-01 14:53:00,Normal,1,Tomato,Loam,100.0,58.3618,60.0,1.6382,0.7414,14.35,57.74,9.23,0.011188,1.15,0.012866,0.0,0.0,0.012866,14.09,0.028178,2.8178,0.0282,0.0129,0.0,58.364,0.0,408.5328
893,2026-06-01 14:53:00,Normal,2,Wheat,Sandy,120.0,48.0521,55.0,6.9479,0.7155,13.96,57.74,9.23,0.011188,0.85,0.00951,0.0,0.0,0.00951,25.0,0.05,6.0,0.05,0.0095,0.0,48.0566,0.0,432.4687
893,2026-06-01 14:53:00,Normal,3,Maize,Clay,80.0,65.4516,65.0,-0.4516,0.7878,14.56,57.74,9.23,0.011188,1.2,0.013426,0.0,0.0,0.013426,5.5,0.011005,0.8804,0.011,0.0134,0.0,65.4513,0.0,654.5159
894,2026-06-01 14:54:00,Normal,1,Tomato,Loam,100.0,58.364,60.0,1.636,0.7414,14.35,56.72,9.23,0.011076,1.15,0.012737,0.0,0.0,0.012737,14.08,0.028161,2.8161,0.0282,0.0127,0.0,58.3662,0.0,408.5481
894,2026-06-01 14:54:00,Normal,2,Wheat,Sandy,120.0,48.0566,55.0,6.9434,0.7156,13.96,56.72,9.23,0.011076,0.85,0.009415,0.0,0.0,0.009415,25.0,0.05,6.0,0.05,0.0094,0.0,48.0611,0.0,432.5092
894,2026-06-01 14:54:00,Normal,3,Maize,Clay,80.0,65.4513,65.0,-0.4513,0.7878,14.56,56.72,9.23,0.011076,1.2,0.013291,0.0,0.0,0.013291,5.5,0.011005,0.8804,0.011,0.0133,0.0,65.4511,0.0,654.5135
895,2026-06-01 14:55:00,Normal,1,Tomato,Loam,100.0,58.3662,60.0,1.6338,0.7415,14.35,60.55,9.23,0.011251,1.15,0.012939,0.0,0.0,0.012939,14.07,0.028144,2.8144,0.0281,0.0129,0.0,58.3684,0.0,408.5635
895,2026-06-01 14:55:00,Normal,2,Wheat,Sandy,120.0,48.0611,55.0,6.9389,0.7157,13.95,60.55,9.23,0.011251,0.85,0.009563,0.0,0.0,0.009563,25.0,0.05,6.0,0.05,0.0096,0.0,48.0656,0.0,432.5498
895,2026-06-01 14:55:00,Normal,3,Maize,Clay,80.0,65.4511,65.0,-0.4511,0.7878,14.56,60.55,9.23,0.011251,1.2,0.013501,0.0,0.0,0.013501,5.5,0.011004,0.8804,0.011,0.0135,0.0,65.4509,0.0,654.5112
896,2026-06-01 14:56:00,Normal,1,Tomato,Loam,100.0,58.3684,60.0,1.6316,0.7415,14.35,58.79,9.23,0.01187,1.15,0.01365,0.0,0.0,0.01365,14.06,0.028127,2.8127,0.0281,0.0137,0.0,58.3705,0.0,408.5787
896,2026-06-01 14:56:00,Normal,2,Wheat,Sandy,120.0,48.0656,55.0,6.9344,0.7158,13.95,58.79,9.23,0.01187,0.85,0.010089,0.0,0.0,0.010089,25.0,0.05,6.0,0.05,0.0101,0.0,48.07,0.0,432.5902
896,2026-06-01 14:56:00,Normal,3,Maize,Clay,80.0,65.4509,65.0,-0.4509,0.7878,14.56,58.79,9.23,0.01187,1.2,0.014244,0.0,0.0,0.014244,5.5,0.011004,0.8803,0.011,0.0142,0.0,65.4505,0.0,654.5087
897,2026-06-01 14:57:00,Normal,1,Tomato,Loam,100.0,58.3705,60.0,1.6295,0.7416,14.35,57.34,9.23,0.011404,1.15,0.013115,0.0,0.0,0.013115,14.06,0.028111,2.8111,0.0281,0.0131,0.0,58.3726,0.0,408.5932
897,2026-06-01 14:57:00,Normal,2,Wheat,Sandy,120.0,48.07,55.0,6.93,0.716,13.95,57.34,9.23,0.011404,0.85,0.009693,0.0,0.0,0.009693,25.0,0.05,6.0,0.05,0.0097,0.0,48.0745,0.0,432.6301
897,2026-06-01 14:57:00,Normal,3,Maize,Clay,80.0,65.4505,65.0,-0.4505,0.7878,14.56,57.34,9.23,0.011404,1.2,0.013685,0.0,0.0,0.013685,5.5,0.011004,0.8803,0.011,0.0137,0.0,65.4503,0.0,654.5055
898,2026-06-01 14:58:00,Normal,1,Tomato,Loam,100.0,58.3726,60.0,1.6274,0.7416,14.34,59.23,9.23,0.011511,1.15,0.013238,0.0,0.0,0.013238,14.05,0.028095,2.8095,0.0281,0.0132,0.0,58.3747,0.0,408.6082
898,2026-06-01 14:58:00,Normal,2,Wheat,Sandy,120.0,48.0745,55.0,6.9255,0.7161,13.95,59.23,9.23,0.011511,0.85,0.009784,0.0,0.0,0.009784,25.0,0.05,6.0,0.05,0.0098,0.0,48.079,0.0,432.6704
898,2026-06-01 14:58:00,Normal,3,Maize,Clay,80.0,65.4503,65.0,-0.4503,0.7878,14.56,59.23,9.23,0.011511,1.2,0.013813,0.0,0.0,0.013813,5.5,0.011004,0.8803,0.011,0.0138,0.0,65.45,0.0,654.5028
899,2026-06-01 14:59:00,Normal,1,Tomato,Loam,100.0,58.3747,60.0,1.6253,0.7417,14.34,59.25,9.23,0.011367,1.15,0.013072,0.0,0.0,0.013072,14.04,0.028078,2.8078,0.0281,0.0131,0.0,58.3769,0.0,408.6231
899,2026-06-01 14:59:00,Normal,2,Wheat,Sandy,120.0,48.079,55.0,6.921,0.7162,13.94,59.25,9.23,0.011367,0.85,0.009662,0.0,0.0,0.009662,25.0,0.05,6.0,0.05,0.0097,0.0,48.0834,0.0,432.7106
899,2026-06-01 14:59:00,Normal,3,Maize,Clay,80.0,65.45,65.0,-0.45,0.7878,14.56,59.25,9.23,0.011367,1.2,0.01364,0.0,0.0,0.01364,5.5,0.011004,0.8803,0.011,0.0136,0.0,65.4497,0.0,654.5
900,2026-06-01 15:00:00,Normal,1,Tomato,Loam,100.0,58.3769,60.0,1.6231,0.7417,14.34,58.85,9.23,0.011574,1.15,0.01331,0.0,0.0,0.01331,14.03,0.028062,2.8062,0.0281,0.0133,0.0,58.379,0.0,408.6381
900,2026-06-01 15:00:00,Normal,2,Wheat,Sandy,120.0,48.0834,55.0,6.9166,0.7163,13.94,58.85,9.23,0.011574,0.85,0.009838,0.0,0.0,0.009838,25.0,0.05,6.0,0.05,0.0098,0.0,48.0879,0.0,432.7509
900,2026-06-01 15:00:00,Normal,3,Maize,Clay,80.0,65.4497,65.0,-0.4497,0.7878,14.56,58.85,9.23,0.011574,1.2,0.013889,0.0,0.0,0.013889,5.5,0.011004,0.8803,0.011,0.0139,0.0,65.4495,0.0,654.4974
901,2026-06-01 15:01:00,Normal,1,Tomato,Loam,100.0,58.379,60.0,1.621,0.7418,14.34,61.34,9.23,0.010965,1.15,0.01261,0.0,0.0,0.01261,14.02,0.028045,2.8045,0.028,0.0126,0.0,58.3812,0.0,408.6529
901,2026-06-01 15:01:00,Normal,2,Wheat,Sandy,120.0,48.0879,55.0,6.9121,0.7164,13.94,61.34,9.23,0.010965,0.85,0.00932,0.0,0.0,0.00932,25.0,0.05,6.0,0.05,0.0093,0.0,48.0924,0.0,432.7911
901,2026-06-01 15:01:00,Normal,3,Maize,Clay,80.0,65.4495,65.0,-0.4495,0.7878,14.56,61.34,9.23,0.010965,1.2,0.013158,0.0,0.0,0.013158,5.5,0.011003,0.8803,0.011,0.0132,0.0,65.4492,0.0,654.4945
902,2026-06-01 15:02:00,Normal,1,Tomato,Loam,100.0,58.3812,60.0,1.6188,0.7418,14.34,59.94,9.23,0.010658,1.15,0.012257,0.0,0.0,0.012257,14.01,0.028028,2.8028,0.028,0.0123,0.0,58.3834,0.0,408.6683
902,2026-06-01 15:02:00,Normal,2,Wheat,Sandy,120.0,48.0924,55.0,6.9076,0.7165,13.93,59.94,9.23,0.010658,0.85,0.009059,0.0,0.0,0.009059,25.0,0.05,6.0,0.05,0.0091,0.0,48.097,0.0,432.8318
902,2026-06-01 15:02:00,Normal,3,Maize,Clay,80.0,65.4492,65.0,-0.4492,0.7878,14.56,59.94,9.23,0.010658,1.2,0.01279,0.0,0.0,0.01279,5.5,0.011003,0.8803,0.011,0.0128,0.0,65.4491,0.0,654.4923
903,2026-06-01 15:03:00,Normal,1,Tomato,Loam,100.0,58.3834,60.0,1.6166,0.7419,14.34,59.03,9.23,0.011088,1.15,0.012751,0.0,0.0,0.012751,14.01,0.028011,2.8011,0.028,0.0128,0.0,58.3856,0.0,408.6841
903,2026-06-01 15:03:00,Normal,2,Wheat,Sandy,120.0,48.097,55.0,6.903,0.7166,13.93,59.03,9.23,0.011088,0.85,0.009425,0.0,0.0,0.009425,25.0,0.05,6.0,0.05,0.0094,0.0,48.1015,0.0,432.8727
903,2026-06-01 15:03:00,Normal,3,Maize,Clay,80.0,65.4491,65.0,-0.4491,0.7878,14.56,59.03,9.23,0.011088,1.2,0.013306,0.0,0.0,0.013306,5.5,0.011003,0.8803,0.011,0.0133,0.0,65.4488,0.0,654.4905
904,2026-06-01 15:04:00,Normal,1,Tomato,Loam,100.0,58.3856,60.0,1.6144,0.7419,14.33,56.27,9.23,0.011248,1.15,0.012935,0.0,0.0,0.012935,14.0,0.027994,2.7994,0.028,0.0129,0.0,58.3878,0.0,408.6994
904,2026-06-01 15:04:00,Normal,2,Wheat,Sandy,120.0,48.1015,55.0,6.8985,0.7167,13.93,56.27,9.23,0.011248,0.85,0.009561,0.0,0.0,0.009561,25.0,0.05,6.0,0.05,0.0096,0.0,48.106,0.0,432.9133
904,2026-06-01 15:04:00,Normal,3,Maize,Clay,80.0,65.4488,65.0,-0.4488,0.7878,14.56,56.27,9.23,0.011248,1.2,0.013498,0.0,0.0,0.013498,5.5,0.011003,0.8802,0.011,0.0135,0.0,65.4486,0.0,654.4882
905,2026-06-01 15:05:00,Normal,1,Tomato,Loam,100.0,58.3878,60.0,1.6122,0.742,14.33,63.39,9.23,0.010935,1.15,0.012575,0.0,0.0,0.012575,13.99,0.027977,2.7977,0.028,0.0126,0.0,58.39,0.0,408.7145
905,2026-06-01 15:05:00,Normal,2,Wheat,Sandy,120.0,48.106,55.0,6.894,0.7168,13.93,63.39,9.23,0.010935,0.85,0.009295,0.0,0.0,0.009295,25.0,0.05,6.0,0.05,0.0093,0.0,48.1105,0.0,432.9537
905,2026-06-01 15:05:00,Normal,3,Maize,Clay,80.0,65.4486,65.0,-0.4486,0.7877,14.56,63.39,9.23,0.010935,1.2,0.013122,0.0,0.0,0.013122,5.5,0.011003,0.8802,0.011,0.0131,0.0,65.4484,0.0,654.4857
906,2026-06-01 15:06:00,Normal,1,Tomato,Loam,100.0,58.39,60.0,1.61,0.742,14.33,59.46,9.23,0.010968,1.15,0.012613,0.0,0.0,0.012613,13.98,0.02796,2.796,0.028,0.0126,0.0,58.3922,0.0,408.7299
906,2026-06-01 15:06:00,Normal,2,Wheat,Sandy,120.0,48.1105,55.0,6.8895,0.7169,13.92,59.46,9.23,0.010968,0.85,0.009323,0.0,0.0,0.009323,25.0,0.05,6.0,0.05,0.0093,0.0,48.115,0.0,432.9944
906,2026-06-01 15:06:00,Normal,3,Maize,Clay,80.0,65.4484,65.0,-0.4484,0.7877,14.56,59.46,9.23,0.010968,1.2,0.013162,0.0,0.0,0.013162,5.5,0.011003,0.8802,0.011,0.0132,0.0,65.4481,0.0,654.4836
907,2026-06-01 15:07:00,Normal,1,Tomato,Loam,100.0,58.3922,60.0,1.6078,0.742,14.33,58.17,9.23,0.010739,1.15,0.01235,0.0,0.0,0.01235,13.97,0.027943,2.7943,0.0279,0.0123,0.0,58.3944,0.0,408.7452
907,2026-06-01 15:07:00,Normal,2,Wheat,Sandy,120.0,48.115,55.0,6.885,0.717,13.92,58.17,9.23,0.010739,0.85,0.009128,0.0,0.0,0.009128,25.0,0.05,6.0,0.05,0.0091,0.0,48.1196,0.0,433.0351
907,2026-06-01 15:07:00,Normal,3,Maize,Clay,80.0,65.4481,65.0,-0.4481,0.7877,14.56,58.17,9.23,0.010739,1.2,0.012887,0.0,0.0,0.012887,5.5,0.011003,0.8802,0.011,0.0129,0.0,65.448,0.0,654.4814
908,2026-06-01 15:08:00,Normal,1,Tomato,Loam,100.0,58.3944,60.0,1.6056,0.7421,14.33,57.27,9.23,0.011349,1.15,0.013051,0.0,0.0,0.013051,13.96,0.027926,2.7926,0.0279,0.0131,0.0,58.3965,0.0,408.7608
908,2026-06-01 15:08:00,Normal,2,Wheat,Sandy,120.0,48.1196,55.0,6.8804,0.7171,13.92,57.27,9.23,0.011349,0.85,0.009647,0.0,0.0,0.009647,25.0,0.05,6.0,0.05,0.0096,0.0,48.124,0.0,433.076
908,2026-06-01 15:08:00,Normal,3,Maize,Clay,80.0,65.448,65.0,-0.448,0.7877,14.56,57.27,9.23,0.011349,1.2,0.013619,0.0,0.0,0.013619,5.5,0.011002,0.8802,0.011,0.0136,0.0,65.4477,0.0,654.4795
909,2026-06-01 15:09:00,Normal,1,Tomato,Loam,100.0,58.3965,60.0,1.6035,0.7421,14.33,59.02,9.23,0.011095,1.15,0.012759,0.0,0.0,0.012759,13.96,0.02791,2.791,0.0279,0.0128,0.0,58.3987,0.0,408.7757
909,2026-06-01 15:09:00,Normal,2,Wheat,Sandy,120.0,48.124,55.0,6.876,0.7172,13.92,59.02,9.23,0.011095,0.85,0.009431,0.0,0.0,0.009431,25.0,0.05,6.0,0.05,0.0094,0.0,48.1286,0.0,433.1164
909,2026-06-01 15:09:00,Normal,3,Maize,Clay,80.0,65.4477,65.0,-0.4477,0.7877,14.56,59.02,9.23,0.011095,1.2,0.013314,0.0,0.0,0.013314,5.5,0.011002,0.8802,0.011,0.0133,0.0,65.4475,0.0,654.4769
910,2026-06-01 15:10:00,Normal,1,Tomato,Loam,100.0,58.3987,60.0,1.6013,0.7422,14.32,59.41,9.23,0.011141,1.15,0.012812,0.0,0.0,0.012812,13.95,0.027893,2.7893,0.0279,0.0128,0.0,58.4009,0.0,408.7909
910,2026-06-01 15:10:00,Normal,2,Wheat,Sandy,120.0,48.1286,55.0,6.8714,0.7173,13.91,59.41,9.23,0.011141,0.85,0.00947,0.0,0.0,0.00947,25.0,0.05,6.0,0.05,0.0095,0.0,48.1331,0.0,433.157
910,2026-06-01 15:10:00,Normal,3,Maize,Clay,80.0,65.4475,65.0,-0.4475,0.7877,14.56,59.41,9.23,0.011141,1.2,0.013369,0.0,0.0,0.013369,5.5,0.011002,0.8802,0.011,0.0134,0.0,65.4472,0.0,654.4746
911,2026-06-01 15:11:00,Normal,1,Tomato,Loam,100.0,58.4009,60.0,1.5991,0.7422,14.32,58.17,9.23,0.010963,1.15,0.012607,0.0,0.0,0.012607,13.94,0.027876,2.7876,0.0279,0.0126,0.0,58.403,0.0,408.806
911,2026-06-01 15:11:00,Normal,2,Wheat,Sandy,120.0,48.1331,55.0,6.8669,0.7175,13.91,58.17,9.23,0.010963,0.85,0.009319,0.0,0.0,0.009319,25.0,0.05,6.0,0.05,0.0093,0.0,48.1376,0.0,433.1975
911,2026-06-01 15:11:00,Normal,3,Maize,Clay,80.0,65.4472,65.0,-0.4472,0.7877,14.56,58.17,9.23,0.010963,1.2,0.013156,0.0,0.0,0.013156,5.5,0.011002,0.8802,0.011,0.0132,0.0,65.447,0.0,654.4722
912,2026-06-01 15:12:00,Normal,1,Tomato,Loam,100.0,58.403,60.0,1.597,0.7423,14.32,60.88,9.23,0.010894,1.15,0.012528,0.0,0.0,0.012528,13.93,0.02786,2.786,0.0279,0.0125,0.0,58.4052,0.0,408.8213
912,2026-06-01 15:12:00,Normal,2,Wheat,Sandy,120.0,48.1376,55.0,6.8624,0.7176,13.91,60.88,9.23,0.010894,0.85,0.00926,0.0,0.0,0.00926,25.0,0.05,6.0,0.05,0.0093,0.0,48.1421,0.0,433.2382
912,2026-06-01 15:12:00,Normal,3,Maize,Clay,80.0,65.447,65.0,-0.447,0.7877,14.56,60.88,9.23,0.010894,1.2,0.013073,0.0,0.0,0.013073,5.5,0.011002,0.8801,0.011,0.0131,0.0,65.4468,0.0,654.47
913,2026-06-01 15:13:00,Normal,1,Tomato,Loam,100.0,58.4052,60.0,1.5948,0.7423,14.32,58.49,9.23,0.01102,1.15,0.012673,0.0,0.0,0.012673,13.92,0.027842,2.7842,0.0278,0.0127,0.0,58.4074,0.0,408.8366
913,2026-06-01 15:13:00,Normal,2,Wheat,Sandy,120.0,48.1421,55.0,6.8579,0.7177,13.9,58.49,9.23,0.01102,0.85,0.009367,0.0,0.0,0.009367,25.0,0.05,6.0,0.05,0.0094,0.0,48.1466,0.0,433.2789
913,2026-06-01 15:13:00,Normal,3,Maize,Clay,80.0,65.4468,65.0,-0.4468,0.7877,14.56,58.49,9.23,0.01102,1.2,0.013224,0.0,0.0,0.013224,5.5,0.011002,0.8801,0.011,0.0132,0.0,65.4466,0.0,654.4679
